Consommation
"1,2/semaine"
"1,2/semaine"
2/semaine
"2,3/semaine"
"3,4/semaine"
"3,4/semaine"
"1,2/semaine"
"1,2/semaine"
"1,2/semaine"
1;2/semaine
"1,2/semaine"
1;2/semaine
1/semaine
"1,2/semaine"
"1,2/semaine"
"1,2/semaine"
"2,3/semaine"
1/semaine
3/semaine
"1,2/semaine"
"1,2/semaine"
1/semaine
"1,2/semaine"
"1,2/semaine"
1/semaine
1/semaine
2/semaine
1/semaine
"1,2/semaine"
1/semaine
"1,2/semaine"
2/semaine
"1,2/seamine"
"2,3/semaine"
"1,2/semaine"
"1,2/semaine"
1/semaine
"1,2/semaine"
1/semaine
"1,2/semaine"
"1,2/semaine"
1 fois / semaine
1 fois / semaine
1 fois / semaine
1 fois / semaine
3 fois / mois
5 fois / mois
1 fois / semaine
1 fois / semaine
2 fois / semaine
3 fois / mois
1 fois / semaine
3 fois / mois
2 fois / semaine
1 fois / semaine
1 fois / semaine
2 fois / semaine
1 fois / semaine
2 fois / semaine
5 fois / mois
1 fois / semaine
3 fois / mois
5 fois / mois
2 fois / mois
1 fois / semaine
3 fois / mois
1 fois / semaine
2 fois / semaine
5 fois / mois
2 fois / semaine
5 fois / mois
1 fois / semaine
5 fois / mois
1 fois / semaine
1 fois / semaine
3 fois / mois
6 fois / mois
5 fois / mois
2 fois par semaine
5 foirs par semaine
8 fois par semaine
2 fois par semaine
4 fois par semaine
5 foirs par semaine
8 fois par semaine
2 fois par semaine
2 fois par semaine
3 fois par semaine
4/semaine
2 fois par semaine
6  fois par mois
4 fois par semaine
2 fois par semaine
je ne sais pas exactement
7 fois par mois
4 fois par mois
5 fois par mois
3 fois par mois
3 fois par semaine
6 fois par semaine
5 fois par semaine
2 fois par semaine
3 fois par semaine
2 fois par semaine
4 fois par semaine
5 fois par semaine
4 fois par mois
3 fois par mois
4fois par mois
3 fois par mois
3 fois par mois
5 fois par mois
1 fois/ semaine
2 fois/ semaine
2 fois/ semaine
3 fois/ semaine
2 fois/ semaine
2 fois/ semaine
3 fois/ semaine
2 fois/ semaine
2 fois/ semaine
3 fois/ semaine
1 fois/ semaine
3 fois/ semaine
3 fois/ semaine
2 fois/ semaine
3 fois/ semaine
3 fois/ semaine
2 fois/ semaine
2 fois/ semaine
3 fois/ semaine
1 fois/ semaine
1 fois/ semaine
2 fois/ semaine
1 fois/ semaine
